base_paper_id,variant_type,orig_score,variant_score
crF9dk4poo,no_conclusion,4.75,5.0
crF9dk4poo,no_methods,4.75,5.0
ecbRyZZmKG,no_abstract,3.0,4.5
ecbRyZZmKG,no_conclusion,3.0,4.0
ecbRyZZmKG,no_methods,3.0,4.5
f7t7AOseAa,no_abstract,3.0,5.25
f7t7AOseAa,no_introduction,3.0,5.0
f7t7AOseAa,no_conclusion,3.0,4.5
f7t7AOseAa,no_experiments,3.0,5.0
f7t7AOseAa,no_methods,3.0,5.0
fGXyvmWpw6,no_abstract,4.5,5.0
fGXyvmWpw6,no_introduction,4.5,4.75
fGXyvmWpw6,no_conclusion,4.5,5.0
fGXyvmWpw6,no_experiments,4.5,6.0
fGXyvmWpw6,no_methods,4.5,5.0
fIKRJeLH7W,no_conclusion,5.0,5.5
gJeYtRuguR,no_abstract,3.0,4.5
gJeYtRuguR,no_introduction,3.0,4.25
gJeYtRuguR,no_conclusion,3.0,5.0
gJeYtRuguR,no_experiments,3.0,4.5
gJeYtRuguR,no_methods,3.0,4.0
iNtEAeVQE0,no_abstract,3.75,4.25
iNtEAeVQE0,no_methods,3.75,4.5
iNtEAeVQE0,no_experiments,3.75,4.0
lr69PmF2Ov,no_abstract,4.5,6.0
lr69PmF2Ov,no_introduction,4.5,5.0
mHYkcQzdae,no_introduction,4.0,4.5
mHYkcQzdae,no_conclusion,4.0,4.5
mHYkcQzdae,no_methods,4.0,4.5
mWf3RGc6HG,no_abstract,4.5,5.0
pdJXYfJjz9,no_abstract,4.5,5.0
pdJXYfJjz9,no_conclusion,4.5,4.75
qoHeuRAcSl,no_conclusion,5.5,6.0
rnHqwPH4TZ,no_introduction,5.0,5.5
rnHqwPH4TZ,no_abstract,5.0,5.75
s9bCeJGUJi,no_abstract,3.0,5.0
s9bCeJGUJi,no_introduction,3.0,4.0
s9bCeJGUJi,no_conclusion,3.0,4.0
s9bCeJGUJi,no_methods,3.0,4.75
sP1tCl2QBk,no_experiments,5.0,5.25
ug8wDSimNK,no_abstract,4.75,5.0
ug8wDSimNK,no_introduction,4.75,5.0
ug8wDSimNK,no_conclusion,4.75,5.0
ug8wDSimNK,no_experiments,4.75,5.25
wDE3clrYWR,no_experiments,4.5,5.0
wDE3clrYWR,no_methods,4.5,6.0
y8dHnNEcJu,no_conclusion,4.5,5.0
y8dHnNEcJu,no_methods,4.5,5.0
yJdj2QQCUB,no_conclusion,5.0,6.0
zgHamUBuuO,no_conclusion,5.25,5.5
zgHamUBuuO,no_methods,5.25,6.0
zmJDzPh1Dm,no_experiments,4.0,4.5
zmJDzPh1Dm,no_methods,4.0,5.0
